q,qstep,psnr,ssim,bpp,encode_ms,decode_ms
10,32.0000,29.5282,0.992438,0.690139,48.41,33.57
20,20.1587,31.8809,0.995666,1.039024,32.80,24.25
30,13.9288,34.0187,0.997385,1.461798,31.55,25.57
40,10.5561,36.2069,0.998339,1.843881,33.04,26.57
50,8.0000,37.6783,0.998822,2.301030,32.82,29.05
60,6.0629,39.7646,0.999272,3.026605,33.92,28.58
70,4.5948,41.8192,0.999548,3.787245,34.85,29.45
80,3.3466,44.9538,0.999780,5.177820,34.57,29.87
90,2.2410,51.0264,0.999946,9.648160,32.05,30.01
100,1.0000,inf,1.000000,13.055791,32.72,32.33
