codec,quality_param,psnr,ssim,bpp
GNC,10,29.5282,0.992438,0.687033
GNC,20,26.1740,0.982042,0.966933
GNC,30,26.6513,0.983766,1.352820
GNC,40,26.9439,0.984710,1.824576
GNC,50,28.8750,0.989723,2.305035
GNC,60,29.1017,0.990196,3.041092
GNC,70,33.3898,0.996585,3.819606
GNC,80,33.7350,0.996829,5.241547
GNC,90,51.1102,0.999947,8.996115
GNC,100,inf,1.000000,12.874406
JPEG,5,24.3756,0.978387,0.308167
JPEG,10,27.4396,0.989449,0.431910
JPEG,15,29.0349,0.992847,0.541686
JPEG,20,30.0837,0.994463,0.640177
JPEG,30,31.5449,0.996138,0.822207
JPEG,40,32.4949,0.996941,0.977693
JPEG,50,33.2560,0.997463,1.129101
JPEG,60,33.9986,0.997874,1.283287
JPEG,70,34.9470,0.998312,1.533256
JPEG,80,36.3287,0.998797,1.957492
JPEG,90,38.9762,0.999343,2.899560
JPEG,95,41.8334,0.999648,4.245228
JPEG,100,48.6958,0.999909,8.432647
JPEG2000,100.0,28.6513,,0.239529
JPEG2000,80.0,29.4437,,0.299919
JPEG2000,60.0,30.6222,,0.400015
JPEG2000,40.0,32.2671,,0.599622
JPEG2000,20.0,35.8179,,1.199927
JPEG2000,10.0,40.2124,,2.398530
JPEG2000,5.0,45.5512,,4.800058
JPEG2000,3.0,52.2322,,7.998422
JPEG2000,2.0,inf,,10.066605
JPEG2000,1.5,inf,,10.066605
