name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
53_base_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,42.98,42.77,43.47,42.74,0.9983,5.41,1401533,,,,
97_base_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,45.92,45.70,46.39,45.69,0.9991,6.30,1633462,,,,
97_sb_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,45.92,45.70,46.39,45.69,0.9991,5.59,1448089,,,,
97_cfl_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,45.91,45.71,46.38,45.68,0.9991,6.27,1624475,,,,
97_sb_cfl_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,45.91,45.71,46.38,45.68,0.9991,5.61,1453908,,,,
97_sb_cfl_perc_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,43.00,42.75,43.63,42.69,0.9983,4.03,1044880,,,,
53_sb_cfl_perc_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,39.66,39.44,40.28,39.33,0.9964,3.32,861325,,,,
97_all_dz75_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.75,41.62,41.35,42.26,41.31,0.9976,3.15,815480,,,,
53_base_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,37.52,37.36,37.97,37.26,0.9942,2.81,728677,,,,
97_base_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,40.93,40.77,41.31,40.74,0.9973,3.71,961627,,,,
97_sb_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,40.93,40.77,41.31,40.74,0.9973,3.03,784943,,,,
97_cfl_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,40.93,40.80,41.28,40.73,0.9973,3.66,949620,,,,
97_sb_cfl_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,40.93,40.80,41.28,40.73,0.9973,3.05,789402,,,,
97_sb_cfl_perc_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,38.44,38.30,38.85,38.21,0.9953,2.10,543072,,,,
53_sb_cfl_perc_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,34.78,34.65,35.14,34.59,0.9891,1.63,421608,,,,
97_all_dz75_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.75,37.13,36.94,37.55,36.94,0.9935,1.53,397735,,,,
53_base_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,32.26,32.17,32.56,32.07,0.9810,1.42,367134,,,,
97_base_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,36.80,36.68,37.09,36.63,0.9931,2.04,529005,,,,
97_sb_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,36.80,36.68,37.09,36.63,0.9931,1.46,378043,,,,
97_cfl_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,36.80,36.72,37.04,36.65,0.9932,1.97,511816,,,,
97_sb_cfl_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,36.80,36.72,37.04,36.65,0.9932,1.47,380762,,,,
97_sb_cfl_perc_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,34.63,34.55,34.87,34.48,0.9888,1.01,261586,,,,
53_sb_cfl_perc_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,30.73,30.59,30.96,30.65,0.9721,0.70,180910,,,,
97_all_dz75_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.75,33.59,33.44,33.86,33.49,0.9853,0.72,187235,,,,
53_base_q32,test_material/frames/touchdown_1080p.png,1920,1080,256,32,0,27.15,27.84,27.69,26.13,0.9495,0.80,206939,,,,
97_base_q32,test_material/frames/touchdown_1080p.png,1920,1080,256,32,0,33.54,33.43,33.78,33.41,0.9855,1.18,307084,,,,
97_sb_q32,test_material/frames/touchdown_1080p.png,1920,1080,256,32,0,33.54,33.43,33.78,33.41,0.9855,0.70,182621,,,,
97_cfl_q32,test_material/frames/touchdown_1080p.png,1920,1080,256,32,0,33.54,33.47,33.73,33.43,0.9856,1.09,281913,,,,
97_sb_cfl_q32,test_material/frames/touchdown_1080p.png,1920,1080,256,32,0,33.54,33.47,33.73,33.43,0.9856,0.71,184170,,,,
97_sb_cfl_perc_q32,test_material/frames/touchdown_1080p.png,1920,1080,256,32,0,31.76,31.67,31.95,31.66,0.9781,0.50,129566,,,,
53_sb_cfl_perc_q32,test_material/frames/touchdown_1080p.png,1920,1080,256,32,0,27.06,27.46,27.00,26.76,0.9446,0.32,83685,,,,
97_all_dz75_q32,test_material/frames/touchdown_1080p.png,1920,1080,256,32,0.75,31.02,30.91,31.20,30.95,0.9735,0.39,101248,,,,
