name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
53_base_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,43.47,43.31,43.91,43.21,0.9997,5.02,1301245,,,,
97_base_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,46.68,46.49,47.17,46.43,0.9998,5.81,1506127,,,,
97_sb_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,46.68,46.49,47.17,46.43,0.9998,5.16,1336610,,,,
97_cfl_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,46.67,46.47,47.16,46.43,0.9998,5.72,1483272,,,,
97_sb_cfl_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,46.67,46.47,47.16,46.43,0.9998,5.15,1333863,,,,
97_sb_cfl_perc_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,44.08,43.80,44.89,43.65,0.9997,3.80,984716,,,,
53_sb_cfl_perc_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,40.56,40.20,41.43,40.16,0.9993,3.33,862942,,,,
97_all_dz75_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.75,43.06,42.91,43.95,42.44,0.9996,3.12,808973,,,,
53_base_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,38.19,38.05,38.99,37.65,0.9989,3.02,781707,,,,
97_base_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,42.79,42.58,43.36,42.49,0.9996,3.68,954255,,,,
97_sb_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,42.79,42.58,43.36,42.49,0.9996,3.09,801684,,,,
97_cfl_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,42.79,42.57,43.37,42.48,0.9996,3.60,934175,,,,
97_sb_cfl_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,42.79,42.57,43.37,42.48,0.9996,3.07,796980,,,,
97_sb_cfl_perc_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,40.23,39.96,41.17,39.69,0.9993,2.21,572471,,,,
53_sb_cfl_perc_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,35.56,35.19,36.53,35.10,0.9978,1.82,471341,,,,
97_all_dz75_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.75,39.12,39.02,40.24,38.31,0.9991,1.78,460561,,,,
53_base_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,32.68,32.29,33.66,32.25,0.9959,1.76,456504,,,,
97_base_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,39.22,38.98,39.97,38.79,0.9991,2.35,609970,,,,
97_sb_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,39.22,38.98,39.97,38.79,0.9991,1.83,474909,,,,
97_cfl_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,39.21,38.99,39.98,38.77,0.9991,2.28,590437,,,,
97_sb_cfl_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,39.21,38.99,39.98,38.77,0.9991,1.81,470069,,,,
97_sb_cfl_perc_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,36.26,35.97,37.39,35.62,0.9982,1.24,322654,,,,
53_sb_cfl_perc_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,30.51,30.11,31.95,29.76,0.9930,0.93,239958,,,,
97_all_dz75_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.75,34.98,35.04,36.24,33.94,0.9977,0.94,244362,,,,
53_base_q32,test_material/frames/blue_sky_1080p.png,1920,1080,256,32,0,27.65,26.88,29.14,27.26,0.9848,0.97,252292,,,,
97_base_q32,test_material/frames/blue_sky_1080p.png,1920,1080,256,32,0,35.37,35.14,36.25,34.83,0.9978,1.50,388841,,,,
97_sb_q32,test_material/frames/blue_sky_1080p.png,1920,1080,256,32,0,35.37,35.14,36.25,34.83,0.9978,1.03,267025,,,,
97_cfl_q32,test_material/frames/blue_sky_1080p.png,1920,1080,256,32,0,35.37,35.13,36.29,34.83,0.9978,1.43,369859,,,,
97_sb_cfl_q32,test_material/frames/blue_sky_1080p.png,1920,1080,256,32,0,35.37,35.13,36.29,34.83,0.9978,1.02,263989,,,,
97_sb_cfl_perc_q32,test_material/frames/blue_sky_1080p.png,1920,1080,256,32,0,32.25,32.10,33.42,31.45,0.9955,0.65,167384,,,,
53_sb_cfl_perc_q32,test_material/frames/blue_sky_1080p.png,1920,1080,256,32,0,26.15,26.60,27.04,25.07,0.9841,0.40,103570,,,,
97_all_dz75_q32,test_material/frames/blue_sky_1080p.png,1920,1080,256,32,0.75,30.97,31.30,32.18,29.77,0.9946,0.48,124596,,,,
