codec,image,width,height,quality_param,psnr_db,ssim,bpp,compressed_bytes,encode_ms
jpeg,bbb_1080p,1920,1080,q5,23.96,0.6328,0.138,35758,15.1
jpeg,bbb_1080p,1920,1080,q10,26.75,0.7577,0.266,68865,13.7
jpeg,bbb_1080p,1920,1080,q15,28.13,0.8102,0.372,96445,14.8
jpeg,bbb_1080p,1920,1080,q20,29.01,0.8384,0.466,120660,15.0
jpeg,bbb_1080p,1920,1080,q30,30.19,0.8718,0.628,162762,15.9
jpeg,bbb_1080p,1920,1080,q40,30.93,0.8895,0.76,197098,16.4
jpeg,bbb_1080p,1920,1080,q50,31.5,0.9015,0.881,228423,16.9
jpeg,bbb_1080p,1920,1080,q60,32.05,0.9113,1.009,261656,16.9
jpeg,bbb_1080p,1920,1080,q70,32.76,0.9223,1.201,311224,18.7
jpeg,bbb_1080p,1920,1080,q80,33.78,0.9354,1.509,391211,19.1
jpeg,bbb_1080p,1920,1080,q85,34.52,0.9434,1.768,458187,21.0
jpeg,bbb_1080p,1920,1080,q90,35.56,0.9535,2.207,572100,21.7
jpeg,bbb_1080p,1920,1080,q95,37.08,0.9668,3.127,810449,24.7
jpeg,bbb_1080p,1920,1080,q98,38.23,0.9765,4.486,1162692,32.6
jpeg2000,bbb_1080p,1920,1080,r2,inf,1.0,10.067,2609264,456.0
jpeg2000,bbb_1080p,1920,1080,r3,52.23,0.9978,7.998,2073191,426.1
jpeg2000,bbb_1080p,1920,1080,r4,47.81,0.9943,5.999,1555063,426.0
jpeg2000,bbb_1080p,1920,1080,r5,45.55,0.9913,4.8,1244175,422.1
jpeg2000,bbb_1080p,1920,1080,r8,41.89,0.9827,3.0,777573,422.0
jpeg2000,bbb_1080p,1920,1080,r10,40.21,0.9765,2.399,621699,420.6
jpeg2000,bbb_1080p,1920,1080,r15,37.6,0.9622,1.6,414629,417.6
jpeg2000,bbb_1080p,1920,1080,r20,35.82,0.9474,1.2,311021,418.5
jpeg2000,bbb_1080p,1920,1080,r30,33.68,0.9222,0.8,207274,416.9
jpeg2000,bbb_1080p,1920,1080,r40,32.27,0.8992,0.6,155422,417.5
jpeg2000,bbb_1080p,1920,1080,r50,31.32,0.8767,0.48,124392,417.7
jpeg2000,bbb_1080p,1920,1080,r80,29.44,0.8275,0.3,77739,419.7
jpeg2000,bbb_1080p,1920,1080,r100,28.65,0.8015,0.24,62086,416.5
jpeg,blue_sky_1080p,1920,1080,q5,24.82,0.8379,0.125,32351,12.9
jpeg,blue_sky_1080p,1920,1080,q10,27.73,0.8718,0.203,52720,13.6
jpeg,blue_sky_1080p,1920,1080,q15,29.29,0.8927,0.268,69383,14.0
jpeg,blue_sky_1080p,1920,1080,q20,30.39,0.9068,0.32,83013,14.4
jpeg,blue_sky_1080p,1920,1080,q30,31.75,0.9242,0.413,106976,14.6
jpeg,blue_sky_1080p,1920,1080,q40,32.56,0.9329,0.489,126623,15.3
jpeg,blue_sky_1080p,1920,1080,q50,33.13,0.9381,0.56,145224,15.6
jpeg,blue_sky_1080p,1920,1080,q60,33.7,0.9431,0.636,164909,15.7
jpeg,blue_sky_1080p,1920,1080,q70,34.45,0.9487,0.756,195926,16.4
jpeg,blue_sky_1080p,1920,1080,q80,35.61,0.9561,0.971,251746,17.3
jpeg,blue_sky_1080p,1920,1080,q85,36.46,0.9607,1.168,302772,17.8
jpeg,blue_sky_1080p,1920,1080,q90,37.61,0.9674,1.523,394851,19.4
jpeg,blue_sky_1080p,1920,1080,q95,39.14,0.9763,2.292,594114,22.5
jpeg,blue_sky_1080p,1920,1080,q98,40.26,0.9852,3.5,907073,27.1
jpeg2000,blue_sky_1080p,1920,1080,r2,inf,1.0,8.411,2180219,375.5
jpeg2000,blue_sky_1080p,1920,1080,r3,60.26,0.9992,8.0,2073575,364.1
jpeg2000,blue_sky_1080p,1920,1080,r4,51.6,0.9963,5.999,1555042,362.5
jpeg2000,blue_sky_1080p,1920,1080,r5,47.54,0.9905,4.8,1244125,366.8
jpeg2000,blue_sky_1080p,1920,1080,r8,44.45,0.9822,2.997,776930,362.8
