name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
dz0_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,43.47,43.31,43.91,43.21,0.9997,4.92,1276348,,,,
dz25_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.25,43.47,43.31,43.91,43.21,0.9997,4.92,1276348,,,,
dz50_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.5,43.47,43.31,43.91,43.21,0.9997,4.92,1276348,,,,
dz75_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0.75,42.70,42.52,43.18,42.43,0.9996,4.04,1047264,,,,
dz100_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,1,41.45,41.29,42.02,41.10,0.9995,3.47,900307,,,,
dz0_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,38.19,38.05,38.99,37.65,0.9989,2.91,754270,,,,
dz25_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.25,38.19,38.05,38.99,37.65,0.9989,2.91,754270,,,,
dz50_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.5,38.19,38.05,38.99,37.65,0.9989,2.91,754270,,,,
dz75_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0.75,37.36,37.19,38.14,36.84,0.9986,2.34,605951,,,,
dz100_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,1,36.02,35.83,36.65,35.63,0.9982,1.95,504995,,,,
dz0_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,32.68,32.29,33.66,32.25,0.9959,1.66,429175,,,,
dz25_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.25,32.68,32.29,33.66,32.25,0.9959,1.66,429175,,,,
dz50_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.5,32.68,32.29,33.66,32.25,0.9959,1.66,429175,,,,
dz75_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0.75,31.83,31.35,33.13,31.25,0.9950,1.24,322638,,,,
dz100_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,1,30.77,30.48,31.78,30.20,0.9940,0.99,255766,,,,
