name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
dz0_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,42.98,42.77,43.47,42.74,0.9983,5.32,1378085,,,,
dz25_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.25,42.98,42.77,43.47,42.74,0.9983,5.32,1378085,,,,
dz50_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.5,42.98,42.77,43.47,42.74,0.9983,5.32,1378085,,,,
dz75_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0.75,41.78,41.61,42.27,41.51,0.9978,4.06,1051497,,,,
dz100_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,1,40.03,39.86,40.51,39.75,0.9967,3.22,833684,,,,
dz0_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,37.52,37.36,37.97,37.26,0.9942,2.70,700498,,,,
dz25_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.25,37.52,37.36,37.97,37.26,0.9942,2.70,700498,,,,
dz50_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.5,37.52,37.36,37.97,37.26,0.9942,2.70,700498,,,,
dz75_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0.75,36.39,36.25,36.80,36.16,0.9924,1.91,495914,,,,
dz100_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,1,35.00,34.87,35.34,34.80,0.9895,1.50,389288,,,,
dz0_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,32.26,32.17,32.56,32.07,0.9810,1.31,339517,,,,
dz25_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.25,32.26,32.17,32.56,32.07,0.9810,1.31,339517,,,,
dz50_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.5,32.26,32.17,32.56,32.07,0.9810,1.31,339517,,,,
dz75_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0.75,31.56,31.49,31.85,31.37,0.9775,0.95,246607,,,,
dz100_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,1,30.49,30.40,30.99,30.13,0.9719,0.77,198458,,,,
