codec,quality_param,psnr,ssim,bpp
GNC,10,31.1454,0.974158,0.707832
GNC,20,32.7658,0.982270,0.904568
GNC,30,34.3062,0.987602,1.161578
GNC,40,35.7026,0.991013,1.437369
GNC,50,36.9692,0.993232,1.661543
GNC,60,38.7969,0.995567,2.281076
GNC,70,40.7395,0.997156,3.046856
GNC,80,44.0029,0.998656,4.701150
GNC,90,50.4477,0.999695,8.614059
GNC,100,inf,1.000000,11.896813
JPEG,5,25.2730,0.938295,0.256011
JPEG,10,29.1975,0.958582,0.314105
JPEG,15,30.6956,0.971277,0.389819
JPEG,20,32.0937,0.980283,0.465575
JPEG,30,33.5149,0.985698,0.614819
JPEG,40,34.6690,0.989013,0.729279
JPEG,50,35.4597,0.990750,0.852060
JPEG,60,36.1919,0.992183,0.991439
JPEG,70,37.3185,0.993980,1.223032
JPEG,80,38.9209,0.995882,1.515170
JPEG,90,43.1080,0.998422,2.274688
JPEG,95,45.1524,0.999005,3.143279
JPEG,100,48.4250,0.999544,6.276065
JPEG2000,100.0,32.3499,,0.238765
JPEG2000,80.0,32.9070,,0.300039
JPEG2000,60.0,33.8261,,0.399884
JPEG2000,40.0,35.1406,,0.600054
JPEG2000,20.0,37.9281,,1.199657
JPEG2000,10.0,41.5404,,2.399387
JPEG2000,5.0,45.8945,,4.798083
JPEG2000,3.0,51.9358,,7.999124
