name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
sb_uniform_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,43.47,43.31,43.91,43.21,0.9997,5.03,1304239,,,,
sb_perceptual_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,40.54,40.21,41.38,40.13,0.9993,3.66,949391,,,,
sb_aggressive_hh_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,42.19,42.01,42.68,41.92,0.9995,4.52,1170448,,,,
sb_chroma_save_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,41.18,40.69,42.25,40.76,0.9994,3.83,992100,,,,
sb_full_perceptual_q4,test_material/frames/blue_sky_1080p.png,1920,1080,256,4,0,39.42,38.97,40.54,38.95,0.9991,3.27,848113,,,,
sb_uniform_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,38.19,38.05,38.99,37.65,0.9989,3.02,782175,,,,
sb_perceptual_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,35.34,34.97,36.47,34.78,0.9977,2.13,551422,,,,
sb_aggressive_hh_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,37.19,37.06,37.95,36.65,0.9986,2.75,712182,,,,
sb_chroma_save_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,35.86,35.28,36.90,35.58,0.9979,2.17,563263,,,,
sb_full_perceptual_q8,test_material/frames/blue_sky_1080p.png,1920,1080,256,8,0,34.34,33.84,35.48,33.90,0.9971,1.85,478641,,,,
sb_uniform_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,32.68,32.29,33.66,32.25,0.9959,1.76,457186,,,,
sb_perceptual_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,30.27,29.60,31.70,29.81,0.9922,1.19,308242,,,,
sb_aggressive_hh_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,31.91,31.58,32.83,31.45,0.9951,1.64,426000,,,,
sb_chroma_save_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,30.79,29.93,32.14,30.58,0.9927,1.22,317130,,,,
sb_full_perceptual_q16,test_material/frames/blue_sky_1080p.png,1920,1080,256,16,0,29.48,28.78,30.86,29.06,0.9905,1.02,264794,,,,
