name,input,width,height,tile_size,qstep,dead_zone,psnr_db,psnr_r,psnr_g,psnr_b,ssim,bpp,compressed_bytes,encode_ms,decode_ms,encode_fps,decode_fps
sb_uniform_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,42.98,42.77,43.47,42.74,0.9983,5.42,1405991,,,,
sb_perceptual_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,39.67,39.38,40.36,39.34,0.9963,3.69,956554,,,,
sb_aggressive_hh_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,41.13,40.96,41.52,40.93,0.9974,4.81,1245773,,,,
sb_chroma_save_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,41.18,40.77,42.31,40.64,0.9973,3.87,1002052,,,,
sb_full_perceptual_q4,test_material/frames/touchdown_1080p.png,1920,1080,256,4,0,39.15,38.81,40.05,38.71,0.9958,3.30,856392,,,,
sb_uniform_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,37.52,37.36,37.97,37.26,0.9942,2.81,728427,,,,
sb_perceptual_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,34.74,34.48,35.31,34.49,0.9887,2.00,517760,,,,
sb_aggressive_hh_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,36.18,36.05,36.53,35.98,0.9921,2.50,647571,,,,
sb_chroma_save_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,35.48,35.26,36.20,35.06,0.9907,2.27,588070,,,,
sb_full_perceptual_q8,test_material/frames/touchdown_1080p.png,1920,1080,256,8,0,33.85,33.68,34.39,33.53,0.9866,1.90,493332,,,,
sb_uniform_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,32.26,32.17,32.56,32.07,0.9810,1.42,367394,,,,
sb_perceptual_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,30.89,30.65,31.48,30.60,0.9737,1.06,275077,,,,
sb_aggressive_hh_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,31.66,31.57,31.93,31.49,0.9781,1.27,328241,,,,
sb_chroma_save_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,29.87,31.19,31.34,27.96,0.9759,1.26,325514,,,,
sb_full_perceptual_q16,test_material/frames/touchdown_1080p.png,1920,1080,256,16,0,29.03,30.04,30.24,27.41,0.9686,1.02,263165,,,,
